entrada,saida,formato_completo
"movimente 53 m do lado direito, após isso 31 m direita",53R31R,"[movimente 53 m do lado direito, após isso 31 m direita → 53R31R]"
mova 67 centimetros pra frente em seguida 71 centimetros para trás,67F71B,[mova 67 centimetros pra frente em seguida 71 centimetros para trás → 67F71B]
desloque 92 centimetros pra esquerda,92L,[desloque 92 centimetros pra esquerda → 92L]
caminha 14 para esquerda e 76 para direita,14L76R,[caminha 14 para esquerda e 76 para direita → 14L76R]
navegue 26passos adiante,26F,[navegue 26passos adiante → 26F]
movimente 57 passos à frente,57F,[movimente 57 passos à frente → 57F]
"76 esquerda, 12 para frente, 99 pra esquerda",76L12F99L,"[76 esquerda, 12 para frente, 99 pra esquerda → 76L12F99L]"
realize movimento de 2 do lado direito seguido de 60 na frente,2R60F,[realize movimento de 2 do lado direito seguido de 60 na frente → 2R60F]
desloque-se 28 centimetros para esquerda,28L,[desloque-se 28 centimetros para esquerda → 28L]
mova-se rumo a esquerda 60 passos,60L,[mova-se rumo a esquerda 60 passos → 60L]
locomova-se na direção de esquerda 28 centímetros,28L,[locomova-se na direção de esquerda 28 centímetros → 28L]
avance 30 centímetro à frente logo após 29 centímetro para esquerda,30F29L,[avance 30 centímetro à frente logo após 29 centímetro para esquerda → 30F29L]
"primeiro 83 para frente, então 83 em frente, finalmente 49 lado esquerdo",83F83F49L,"[primeiro 83 para frente, então 83 em frente, finalmente 49 lado esquerdo → 83F83F49L]"
movimente 85 mm esquerda,85L,[movimente 85 mm esquerda → 85L]
faça movimento lado esquerdo de 37 mm,37L,[faça movimento lado esquerdo de 37 mm → 37L]
movimente 69 centimetros do lado direito,69R,[movimente 69 centimetros do lado direito → 69R]
"primeiro 24 esquerda, depois 52 frente",24L52F,"[primeiro 24 esquerda, depois 52 frente → 24L52F]"
realize deslocamento de 51 centimetro esquerda,51L,[realize deslocamento de 51 centimetro esquerda → 51L]
realize deslocamento de 56 centimetro para direita,56R,[realize deslocamento de 56 centimetro para direita → 56R]
caminhe rumo a esquerda 89 centimetros,89L,[caminhe rumo a esquerda 89 centimetros → 89L]
execute 96 esquerda então 88 à direita,96L88R,[execute 96 esquerda então 88 à direita → 96L88R]
"execute sequência: 89 à direita, 75 para direita, 76 direita",89R75R76R,"[execute sequência: 89 à direita, 75 para direita, 76 direita → 89R75R76R]"
dirija-se 15 unidades voltar e 23 unidades à frente,15B23F,[dirija-se 15 unidades voltar e 23 unidades à frente → 15B23F]
faça movimento pra trás de 40 metros,40B,[faça movimento pra trás de 40 metros → 40B]
vá para a esquerda 47 mm,47L,[vá para a esquerda 47 mm → 47L]
realize movimento de 59 lado direito seguido de 43 adiante,59R43F,[realize movimento de 59 lado direito seguido de 43 adiante → 59R43F]
execute movimento de 63 unidades recuar,63B,[execute movimento de 63 unidades recuar → 63B]
execute movimento de 13 milímetros atrás,13B,[execute movimento de 13 milímetros atrás → 13B]
"execute sequência: 93 para a direita, 29 para trás, 13 do lado esquerdo",93R29B13L,"[execute sequência: 93 para a direita, 29 para trás, 13 do lado esquerdo → 93R29B13L]"
"9 atrás, 66 pra trás",9B66B,"[9 atrás, 66 pra trás → 9B66B]"
54 centímetros na direção direito,54R,[54 centímetros na direção direito → 54R]
"primeiro 15 à frente, então 20 para trás, finalmente 15 direita",15F20B15R,"[primeiro 15 à frente, então 20 para trás, finalmente 15 direita → 15F20B15R]"
vai 43 cm pra trás,43B,[vai 43 cm pra trás → 43B]
execute 23 frente logo após 31 lado esquerdo,23F31L,[execute 23 frente logo após 31 lado esquerdo → 23F31L]
"faça 13 centímetro frente, depois 72 centímetro para a direita",13F72R,"[faça 13 centímetro frente, depois 72 centímetro para a direita → 13F72R]"
ande direita 49 unidades,49R,[ande direita 49 unidades → 49R]
desloque-se 59 esquerda e posteriormente 71 retroceder,59L71B,[desloque-se 59 esquerda e posteriormente 71 retroceder → 59L71B]
desloca 78 para trás e 16 para direita,78B16R,[desloca 78 para trás e 16 para direita → 78B16R]
"faça 14 centimetro atrás, em seguida 80 centimetro lado direito",14B80R,"[faça 14 centimetro atrás, em seguida 80 centimetro lado direito → 14B80R]"
"prossiga 29 retroceder, 5 para a esquerda e 81 lado direito",29B5L81R,"[prossiga 29 retroceder, 5 para a esquerda e 81 lado direito → 29B5L81R]"
"execute sequência: 26 para a direita, 29 pra frente, 3 para direita",26R29F3R,"[execute sequência: 26 para a direita, 29 pra frente, 3 para direita → 26R29F3R]"
"19 trás, 49 para direita",19B49R,"[19 trás, 49 para direita → 19B49R]"
realize movimento de 38 para a esquerda seguido de 83 lado direito,38L83R,[realize movimento de 38 para a esquerda seguido de 83 lado direito → 38L83R]
realize deslocamento de 52 centimetro à frente,52F,[realize deslocamento de 52 centimetro à frente → 52F]
desloca 45 para trás e 4 para direito,45B4R,[desloca 45 para trás e 4 para direito → 45B4R]
prossiga 25 mm na frente,25F,[prossiga 25 mm na frente → 25F]
"primeiro 31 em frente, então 77 pra direita, finalmente 98 para a esquerda",31F77R98L,"[primeiro 31 em frente, então 77 pra direita, finalmente 98 para a esquerda → 31F77R98L]"
prossiga 13 mm para trás após isso 84 mm pra trás,13B84B,[prossiga 13 mm para trás após isso 84 mm pra trás → 13B84B]
89 unidades para direita,89R,[89 unidades para direita → 89R]
40 milímetros para a direita,40R,[40 milímetros para a direita → 40R]
faça movimento pra esquerda de 26 passos,26L,[faça movimento pra esquerda de 26 passos → 26L]
"faça 53 centimetro para frente, depois 59 centimetro para atrás e por fim 3 centimetro retroceder",53F59B3B,"[faça 53 centimetro para frente, depois 59 centimetro para atrás e por fim 3 centimetro retroceder → 53F59B3B]"
"movimente 54 centimetros atrás, após isso 23 centimetros lado direito",54B23R,"[movimente 54 centimetros atrás, após isso 23 centimetros lado direito → 54B23R]"
"97 lado esquerdo, 3 pra direita, 41 para esquerda",97L3R41L,"[97 lado esquerdo, 3 pra direita, 41 para esquerda → 97L3R41L]"
"execute 66 retroceder, 17 em frente, 70 para frente e 89 na frente",66B17F70F89F,"[execute 66 retroceder, 17 em frente, 70 para frente e 89 na frente → 66B17F70F89F]"
move 38 mm para retroceder,38B,[move 38 mm para retroceder → 38B]
"63 para a esquerda, 50 para esquerda",63L50L,"[63 para a esquerda, 50 para esquerda → 63L50L]"
ande 81 para atrás e 86 para adiante,81B86F,[ande 81 para atrás e 86 para adiante → 81B86F]
"faça 34 mm na frente, depois 27 mm lado esquerdo e por fim 64 mm à direita",34F27L64R,"[faça 34 mm na frente, depois 27 mm lado esquerdo e por fim 64 mm à direita → 34F27L64R]"
move em direção à esquerdo 32 cm,32L,[move em direção à esquerdo 32 cm → 32L]
siga 83cm lado direito,83R,[siga 83cm lado direito → 83R]
"faça 42 passos à direita, depois 40 passos avante e por fim 3 passos para a esquerda",42R40F3L,"[faça 42 passos à direita, depois 40 passos avante e por fim 3 passos para a esquerda → 42R40F3L]"
"99 voltar, 21 em frente",99B21F,"[99 voltar, 21 em frente → 99B21F]"
"primeiro 71 esquerda, depois 1 recuar",71L1B,"[primeiro 71 esquerda, depois 1 recuar → 71L1B]"
vá 12 para frente,12F,[vá 12 para frente → 12F]
move 33 para a esquerda e 45 para direito,33L45R,[move 33 para a esquerda e 45 para direito → 33L45R]
"movimente 26 mm trás, após isso 13 mm do lado esquerdo",26B13L,"[movimente 26 mm trás, após isso 13 mm do lado esquerdo → 26B13L]"
"primeiro 79 pra esquerda, depois 43 esquerda",79L43L,"[primeiro 79 pra esquerda, depois 43 esquerda → 79L43L]"
11 centimetro à direita,11R,[11 centimetro à direita → 11R]
50 metros na direção esquerda,50L,[50 metros na direção esquerda → 50L]
movimenta 20 centímetro esquerda,20L,[movimenta 20 centímetro esquerda → 20L]
"execute sequência: 8 voltar, 62 à esquerda, 40 direita",8B62L40R,"[execute sequência: 8 voltar, 62 à esquerda, 40 direita → 8B62L40R]"
"move 49 para voltar, 19 para na frente e 3 para direita",49B19F3R,"[move 49 para voltar, 19 para na frente e 3 para direita → 49B19F3R]"
avance 94 mm direita e 97 mm para esquerda,94R97L,[avance 94 mm direita e 97 mm para esquerda → 94R97L]
faça movimento para frente de 29 passos,29F,[faça movimento para frente de 29 passos → 29F]
move 83 para trás e 25 para direita,83B25R,[move 83 para trás e 25 para direita → 83B25R]
mova-se na direção de esquerdo 10 centimetro,10L,[mova-se na direção de esquerdo 10 centimetro → 10L]
44 metros na frente,44F,[44 metros na frente → 44F]
91 centímetros na direção em frente,91F,[91 centímetros na direção em frente → 91F]
vá 55 avante,55F,[vá 55 avante → 55F]
desloque 78 passos para trás,78B,[desloque 78 passos para trás → 78B]
movimente 8 cm à direita,8R,[movimente 8 cm à direita → 8R]
"primeiro 87 direita, depois 5 em frente",87R5F,"[primeiro 87 direita, depois 5 em frente → 87R5F]"
siga 70 à frente e depois 59 para atrás,70F59B,[siga 70 à frente e depois 59 para atrás → 70F59B]
dirija-se em direção à frente 72 milímetros,72F,[dirija-se em direção à frente 72 milímetros → 72F]
"46 passos na direção de atrás, 19 passos na direção de em frente",46B19F,"[46 passos na direção de atrás, 19 passos na direção de em frente → 46B19F]"
"74 pra direita, 7 atrás, 61 à esquerda, 39 para atrás",74R7B61L39B,"[74 pra direita, 7 atrás, 61 à esquerda, 39 para atrás → 74R7B61L39B]"
"sequência completa: 37 milímetros à frente, 8 milímetros pra frente, 76 milímetros avante, 88 milímetros à direita",37F8F76F88R,"[sequência completa: 37 milímetros à frente, 8 milímetros pra frente, 76 milímetros avante, 88 milímetros à direita → 37F8F76F88R]"
mova 100 passos na frente,100F,[mova 100 passos na frente → 100F]
7 passos na frente,7F,[7 passos na frente → 7F]
faça movimento pra direita de 54 milímetros,54R,[faça movimento pra direita de 54 milímetros → 54R]
desloca adiante 57 mm,57F,[desloca adiante 57 mm → 57F]
realize movimento de 8 em frente seguido de 15 lado direito,8F15R,[realize movimento de 8 em frente seguido de 15 lado direito → 8F15R]
vá 80 para frente e 72 para esquerdo,80F72L,[vá 80 para frente e 72 para esquerdo → 80F72L]
realize movimento de 9 para frente seguido de 68 à direita,9F68R,[realize movimento de 9 para frente seguido de 68 à direita → 9F68R]
vai 69 milímetros à esquerda depois 92 milímetros para atrás,69L92B,[vai 69 milímetros à esquerda depois 92 milímetros para atrás → 69L92B]
caminha 9mm do lado esquerdo,9L,[caminha 9mm do lado esquerdo → 9L]
24 milímetros na direção esquerdo,24L,[24 milímetros na direção esquerdo → 24L]
desloque-se 13centímetros à frente,13F,[desloque-se 13centímetros à frente → 13F]
